category_desc,title
Strengthening Communities,Volunteers at Governor's Island 
Health,Queens:Yoga Fitness Instructor for Shape Up New York at Al Oerter !
Helping Neighbors in Need,Help New Yorkers Affected by the Storm In Staten Island 
Education,College Mentor
Strengthening Communities,HTML Curriculum Design Intern
Strengthening Communities,Photographer
Strengthening Communities,Board Secretary
Strengthening Communities,Marketing/PR Volunteer
Education,I would like to become a mentor
Strengthening Communities,Governor's Island Family Festival
Strengthening Communities,Computers / Technical Support Volunteer Opportunity
Strengthening Communities,GrowNYC Volunteer
Education,Be a Mentor and Make That Extraordinary Difference - 55+ Only
Helping Neighbors in Need,Volunteer-Foreclosure Prevention Project at NYLAG
Health,Queens Fitness Instructor for Shape Up NY!
Strengthening Communities,2011 Concern Spring Run in Central Park!
Environment,Inspire NY Recycling at Summer Streets 2011!
Education,ACADEMIC TUTORING OPPORTUNITIES AT HARLEM RBI:  GREAT EXPERIENCE FOR ANYONE
Strengthening Communities,Volunteer at CMA's Annual Family Benefit
Strengthening Communities,Website CMS Conversion Coordinator 
Strengthening Communities,Fundraising and Development Manager for Healthy Eating Programs
Strengthening Communities,Be A Learning Leader: Chaperones needed for Brooklyn Museum Visits!
Helping Neighbors in Need,Career Gear
Strengthening Communities,Intern for Brooklyn Unlimited workshop
Helping Neighbors in Need,Help New Yorkers Affected by the Storm in Queens 
Strengthening Communities,Lifeguard Workshop Facilitators 
Helping Neighbors in Need,Help feed our Bronx community
Strengthening Communities,Troop Leader / Assistant Troop Leader
Helping Neighbors in Need,Fall Volunteer ESL Teacher
Strengthening Communities,Route Marshall
Strengthening Communities,Communications Intern
Helping Neighbors in Need,Volunteer for inMotion's Story by Story Stair Climb to End Domestic Violence
Helping Neighbors in Need,Help the Catskills Relief Effort
Strengthening Communities,Special Events Assistant
Strengthening Communities,Audience support
Strengthening Communities,Web Editor
Strengthening Communities,Senior Counselor   
Helping Neighbors in Need,Pharmacy Assistant
Environment,Tour Guide Volunteer Opportunity
Helping Neighbors in Need,Overnight Night Volunteer
Strengthening Communities,World Science Festival needs immediate office assistance 
Environment,Dirty Hands Wanted!
Strengthening Communities,Graphic Designer
Strengthening Communities,Boys Scout Leader
Strengthening Communities,Technology Course Facilitator 
Strengthening Communities,Sports Marketing Specialist
Health,Be a Chapter Ambassador!
Helping Neighbors in Need,Administrative Intern
Helping Neighbors in Need,Volunteer for NYLAG's Food Stamps Project
Strengthening Communities,Iridescent Science Studio Open House Volunteers
Helping Neighbors in Need,French Translator
Strengthening Communities,Marketing & Advertising Volunteer
Strengthening Communities,Volunteer filmmakers to help Mayor's Office with YouCanToo! initiative 
